ticker,fiscal_quarter,earnings_date,earnings_time,timing_confidence,available_date,source
SBUX,2023Q2,2023-05-02,,sec_filing_date_proxy,2023-05-02,sec_filing_event_proxy
SBUX,2023Q3,2023-08-01,,sec_filing_date_proxy,2023-08-01,sec_filing_event_proxy
SBUX,2024Q1,2024-01-30,,sec_filing_date_proxy,2024-01-30,sec_filing_event_proxy
SBUX,2024Q2,2024-04-30,,sec_filing_date_proxy,2024-04-30,sec_filing_event_proxy
SBUX,2024Q3,2024-07-30,,sec_filing_date_proxy,2024-07-30,sec_filing_event_proxy
SBUX,2025Q1,2025-01-28,,sec_filing_date_proxy,2025-01-28,sec_filing_event_proxy
SBUX,2025Q2,2025-04-29,,sec_filing_date_proxy,2025-04-29,sec_filing_event_proxy
SBUX,2025Q3,2025-07-29,,sec_filing_date_proxy,2025-07-29,sec_filing_event_proxy
SBUX,2026Q1,2026-01-28,,sec_filing_date_proxy,2026-01-28,sec_filing_event_proxy
SBUX,2026Q2,2026-04-28,,sec_filing_date_proxy,2026-04-28,sec_filing_event_proxy
SBUX,2026Q3,2026-07-29,,sec_filing_date_proxy,2026-07-29,sec_filing_event_proxy
MCD,2009Q2,2009-08-06,,sec_filing_date_proxy,2009-08-06,sec_filing_event_proxy
MCD,2009Q3,2009-11-05,,sec_filing_date_proxy,2009-11-05,sec_filing_event_proxy
MCD,2010Q1,2010-05-06,,sec_filing_date_proxy,2010-05-06,sec_filing_event_proxy
MCD,2010Q2,2010-08-05,,sec_filing_date_proxy,2010-08-05,sec_filing_event_proxy
MCD,2010Q3,2010-11-05,,sec_filing_date_proxy,2010-11-05,sec_filing_event_proxy
MCD,2011Q1,2011-05-06,,sec_filing_date_proxy,2011-05-06,sec_filing_event_proxy
MCD,2011Q2,2011-08-05,,sec_filing_date_proxy,2011-08-05,sec_filing_event_proxy
MCD,2011Q3,2011-11-04,,sec_filing_date_proxy,2011-11-04,sec_filing_event_proxy
MCD,2012Q1,2012-05-08,,sec_filing_date_proxy,2012-05-08,sec_filing_event_proxy
MCD,2012Q2,2012-08-06,,sec_filing_date_proxy,2012-08-06,sec_filing_event_proxy
MCD,2012Q3,2012-11-01,,sec_filing_date_proxy,2012-11-01,sec_filing_event_proxy
MCD,2013Q1,2013-05-01,,sec_filing_date_proxy,2013-05-01,sec_filing_event_proxy
MCD,2013Q2,2013-07-31,,sec_filing_date_proxy,2013-07-31,sec_filing_event_proxy
MCD,2013Q3,2013-10-30,,sec_filing_date_proxy,2013-10-30,sec_filing_event_proxy
MCD,2014Q1,2014-05-06,,sec_filing_date_proxy,2014-05-06,sec_filing_event_proxy
MCD,2014Q2,2014-08-04,,sec_filing_date_proxy,2014-08-04,sec_filing_event_proxy
MCD,2014Q3,2014-11-03,,sec_filing_date_proxy,2014-11-03,sec_filing_event_proxy
MCD,2015Q1,2015-05-07,,sec_filing_date_proxy,2015-05-07,sec_filing_event_proxy
MCD,2015Q2,2015-08-05,,sec_filing_date_proxy,2015-08-05,sec_filing_event_proxy
MCD,2015Q3,2015-11-04,,sec_filing_date_proxy,2015-11-04,sec_filing_event_proxy
MCD,2016Q1,2016-05-06,,sec_filing_date_proxy,2016-05-06,sec_filing_event_proxy
MCD,2016Q2,2016-08-04,,sec_filing_date_proxy,2016-08-04,sec_filing_event_proxy
MCD,2016Q3,2016-11-04,,sec_filing_date_proxy,2016-11-04,sec_filing_event_proxy
MCD,2017Q1,2017-05-08,,sec_filing_date_proxy,2017-05-08,sec_filing_event_proxy
MCD,2017Q2,2017-08-08,,sec_filing_date_proxy,2017-08-08,sec_filing_event_proxy
MCD,2017Q3,2017-11-02,,sec_filing_date_proxy,2017-11-02,sec_filing_event_proxy
MCD,2018Q1,2018-05-08,,sec_filing_date_proxy,2018-05-08,sec_filing_event_proxy
MCD,2018Q2,2018-08-02,,sec_filing_date_proxy,2018-08-02,sec_filing_event_proxy
MCD,2018Q3,2018-11-01,,sec_filing_date_proxy,2018-11-01,sec_filing_event_proxy
MCD,2019Q1,2019-05-08,,sec_filing_date_proxy,2019-05-08,sec_filing_event_proxy
MCD,2019Q2,2019-08-06,,sec_filing_date_proxy,2019-08-06,sec_filing_event_proxy
MCD,2019Q3,2019-11-04,,sec_filing_date_proxy,2019-11-04,sec_filing_event_proxy
MCD,2020Q1,2020-05-07,,sec_filing_date_proxy,2020-05-07,sec_filing_event_proxy
MCD,2020Q2,2020-08-10,,sec_filing_date_proxy,2020-08-10,sec_filing_event_proxy
MCD,2020Q3,2020-11-09,,sec_filing_date_proxy,2020-11-09,sec_filing_event_proxy
MCD,2021Q1,2021-05-05,,sec_filing_date_proxy,2021-05-05,sec_filing_event_proxy
MCD,2021Q2,2021-08-04,,sec_filing_date_proxy,2021-08-04,sec_filing_event_proxy
MCD,2021Q3,2021-11-02,,sec_filing_date_proxy,2021-11-02,sec_filing_event_proxy
MCD,2022Q1,2022-05-02,,sec_filing_date_proxy,2022-05-02,sec_filing_event_proxy
MCD,2022Q2,2022-08-04,,sec_filing_date_proxy,2022-08-04,sec_filing_event_proxy
MCD,2022Q3,2022-11-07,,sec_filing_date_proxy,2022-11-07,sec_filing_event_proxy
MCD,2023Q1,2023-05-04,,sec_filing_date_proxy,2023-05-04,sec_filing_event_proxy
MCD,2023Q2,2023-08-02,,sec_filing_date_proxy,2023-08-02,sec_filing_event_proxy
MCD,2023Q3,2023-11-02,,sec_filing_date_proxy,2023-11-02,sec_filing_event_proxy
MCD,2024Q1,2024-05-08,,sec_filing_date_proxy,2024-05-08,sec_filing_event_proxy
MCD,2024Q2,2024-08-08,,sec_filing_date_proxy,2024-08-08,sec_filing_event_proxy
MCD,2024Q3,2024-11-07,,sec_filing_date_proxy,2024-11-07,sec_filing_event_proxy
MCD,2025Q1,2025-05-12,,sec_filing_date_proxy,2025-05-12,sec_filing_event_proxy
MCD,2025Q2,2025-08-06,,sec_filing_date_proxy,2025-08-06,sec_filing_event_proxy
MCD,2025Q3,2025-11-05,,sec_filing_date_proxy,2025-11-05,sec_filing_event_proxy
MCD,2026Q1,2026-05-07,,sec_filing_date_proxy,2026-05-07,sec_filing_event_proxy
MCD,2026Q2,2026-08-07,,sec_filing_date_proxy,2026-08-07,sec_filing_event_proxy
COST,2010Q1,2009-12-18,,sec_filing_date_proxy,2009-12-18,sec_filing_event_proxy
COST,2010Q2,2010-03-17,,sec_filing_date_proxy,2010-03-17,sec_filing_event_proxy
COST,2010Q3,2010-06-10,,sec_filing_date_proxy,2010-06-10,sec_filing_event_proxy
COST,2011Q1,2010-12-17,,sec_filing_date_proxy,2010-12-17,sec_filing_event_proxy
COST,2011Q2,2011-03-17,,sec_filing_date_proxy,2011-03-17,sec_filing_event_proxy
COST,2011Q3,2011-06-09,,sec_filing_date_proxy,2011-06-09,sec_filing_event_proxy
COST,2012Q1,2011-12-16,,sec_filing_date_proxy,2011-12-16,sec_filing_event_proxy
COST,2012Q2,2012-03-15,,sec_filing_date_proxy,2012-03-15,sec_filing_event_proxy
COST,2012Q3,2012-06-06,,sec_filing_date_proxy,2012-06-06,sec_filing_event_proxy
COST,2013Q1,2012-12-21,,sec_filing_date_proxy,2012-12-21,sec_filing_event_proxy
COST,2013Q2,2013-03-20,,sec_filing_date_proxy,2013-03-20,sec_filing_event_proxy
COST,2013Q3,2013-06-11,,sec_filing_date_proxy,2013-06-11,sec_filing_event_proxy
COST,2014Q1,2013-12-20,,sec_filing_date_proxy,2013-12-20,sec_filing_event_proxy
COST,2014Q2,2014-03-14,,sec_filing_date_proxy,2014-03-14,sec_filing_event_proxy
COST,2014Q3,2014-06-05,,sec_filing_date_proxy,2014-06-05,sec_filing_event_proxy
COST,2015Q1,2014-12-18,,sec_filing_date_proxy,2014-12-18,sec_filing_event_proxy
COST,2015Q2,2015-03-11,,sec_filing_date_proxy,2015-03-11,sec_filing_event_proxy
COST,2015Q3,2015-06-04,,sec_filing_date_proxy,2015-06-04,sec_filing_event_proxy
COST,2016Q1,2015-12-18,,sec_filing_date_proxy,2015-12-18,sec_filing_event_proxy
COST,2016Q2,2016-03-09,,sec_filing_date_proxy,2016-03-09,sec_filing_event_proxy
COST,2016Q3,2016-06-01,,sec_filing_date_proxy,2016-06-01,sec_filing_event_proxy
COST,2017Q1,2016-12-16,,sec_filing_date_proxy,2016-12-16,sec_filing_event_proxy
COST,2017Q2,2017-03-09,,sec_filing_date_proxy,2017-03-09,sec_filing_event_proxy
COST,2017Q3,2017-06-01,,sec_filing_date_proxy,2017-06-01,sec_filing_event_proxy
COST,2018Q1,2017-12-21,,sec_filing_date_proxy,2017-12-21,sec_filing_event_proxy
COST,2018Q2,2018-03-15,,sec_filing_date_proxy,2018-03-15,sec_filing_event_proxy
COST,2018Q3,2018-06-07,,sec_filing_date_proxy,2018-06-07,sec_filing_event_proxy
COST,2019Q1,2018-12-20,,sec_filing_date_proxy,2018-12-20,sec_filing_event_proxy
COST,2019Q2,2019-03-13,,sec_filing_date_proxy,2019-03-13,sec_filing_event_proxy
COST,2019Q3,2019-06-06,,sec_filing_date_proxy,2019-06-06,sec_filing_event_proxy
COST,2020Q1,2019-12-23,,sec_filing_date_proxy,2019-12-23,sec_filing_event_proxy
COST,2020Q2,2020-03-12,,sec_filing_date_proxy,2020-03-12,sec_filing_event_proxy
COST,2020Q3,2020-06-04,,sec_filing_date_proxy,2020-06-04,sec_filing_event_proxy
COST,2021Q1,2020-12-16,,sec_filing_date_proxy,2020-12-16,sec_filing_event_proxy
COST,2021Q2,2021-03-10,,sec_filing_date_proxy,2021-03-10,sec_filing_event_proxy
COST,2021Q3,2021-06-03,,sec_filing_date_proxy,2021-06-03,sec_filing_event_proxy
COST,2022Q1,2021-12-22,,sec_filing_date_proxy,2021-12-22,sec_filing_event_proxy
COST,2022Q2,2022-03-10,,sec_filing_date_proxy,2022-03-10,sec_filing_event_proxy
COST,2022Q3,2022-06-02,,sec_filing_date_proxy,2022-06-02,sec_filing_event_proxy
COST,2023Q1,2022-12-29,,sec_filing_date_proxy,2022-12-29,sec_filing_event_proxy
